Kabupaten/Kota Se Jawa Timur,Luas Panen Padi Menurut Kabupaten/Kota (Hektar),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2018,,,,,,,,,,,,,2019,,,,,,,,,,,,,2020,,,,,,,,,,,,,2021,,,,,,,,,,,,,2022,,,,,,,,,,,,,2023,,,,,,,,,,,,,2024,,,,,,,,,,,,
,Januari,Februari,Maret,April,Mei,Juni,Juli,Agustus,September,Oktober,November,Desember,Tahunan,Januari,Februari,Maret,April,Mei,Juni,Juli,Agustus,September,Oktober,November,Desember,Tahunan,Januari,Februari,Maret,April,Mei,Juni,Juli,Agustus,September,Oktober,November,Desember,Tahunan,Januari,Februari,Maret,April,Mei,Juni,Juli,Agustus,September,Oktober,November,Desember,Tahunan,Januari,Februari,Maret,April,Mei,Juni,Juli,Agustus,September,Oktober,November,Desember,Tahunan,Januari,Februari,Maret,April,Mei,Juni,Juli,Agustus,September,Oktober,November,Desember,Tahunan,Januari,Februari,Maret,April,Mei,Juni,Juli,Agustus,September,Oktober,November,Desember,Tahunan
Kabupaten Magetan,432,5831,10015,1872,2574,9538,6227,738,828,2263,4482,713,45514,291,2030,12098,2609,698,6741,7189,1391,540,1803,6047,796,42232,176,1338,11188,4509,1070,3483,10182,2297,362,4686,6555,977,46822,183,2308,13240,3094,1146,6546,9762,1118,920,3048,5344,1778,48488,149.42,2214.38,11266.2,3847.65,790.03,6447.55,8134.33,1478.57,671.98,2253.6,5060.18,1651.6,43965.49,319.97,1670.68,12173.99,3368.93,740.12,6902.68,7178.1,2665.82,1154.29,912.56,4667.65,2669.21,44424,127.07,1141.31,10660.69,5284.36,954.4,6000.14,6713.83,3647.08,107.06,1853.36,4007.91,2907.4,43404.62
Kabupaten Ngawi,1125,18137,19811,3733,4340,20755,16021,3901,3742,14834,12488,2874,121761,1654,8507,29392,5278,2881,19147,19475,3589,2606,10942,14872,4157,122501,1134,4099,32426,6956,1287,8458,29549,5534,603,7696,23104,5062,125908,726,5988,29825,7965,1566,10157,28179,5434,616,10685,21060,6537,128738,844.65,6181.52,26458.94,11893.7,1164.18,9526.58,26853.43,7598.35,987.72,6058.01,22120.14,8898.57,128585.79,1512.54,2065.1,27743.56,12496.15,2388.46,5800.92,24319.96,12793.29,1487.62,2904.02,18173.17,13238.13,124922.92,2113,1758.77,19484.39,21334.29,2514.6,4062.77,20068.05,16604.33,4139.23,4550.75,15913.24,10532.25,123075.68
Kabupaten Bojonegoro,4576,17334,37404,10399,9539,16393,14315,3468,10296,3412,4711,2924,134770,4480,7438,26617,30573,4035,18509,15821,5279,3795,4469,4241,3608,128864,2963,6196,18317,36834,12616,12181,16474,13374,5044,4893,4246,2496,135635,3562,10664,41759,14424,5486,22713,16078,1650,3910,6580,3781,4002,134609,1601.65,12711.01,49074.54,7751.19,2481.23,23745.1,16401.2,2668.2,3338.64,4624.72,5612.19,3655.83,133665.5,2152.36,29810.39,32452.72,6477.56,8881.52,28941.98,5564.07,3305,3749.89,5137.75,4013.48,2225.3,132712.02,2737.14,7175.29,21186.21,31243.42,11063.63,17625.74,15475.15,7374.47,4734.37,4903.54,4952.77,2748.83,131220.56
Kabupaten Tuban,2859,5658,28266,17112,1764,6662,7703,3921,7612,9659,2660,1980,95855,3772,5928,13357,27854,6665,3704,7322,5179,3175,10103,2990,1152,91200,3183,6250,10599,21304,15556,4591,5727,7264,5416,9109,2830,513,92342,4783,5346,21391,18593,3978,3782,8620,3854,5835,9493,1863,511,88050,5500.11,6434.16,26323.84,11951.43,2788.4,2690.36,8510.46,3555.16,6944.71,6901.04,2892.43,795.92,85288.02,5581.41,10312.2,28044.52,4398.16,3649.79,7823.93,6332.05,2818.16,6871.58,6597.74,1349.27,336.82,84115.63,7198.12,7556.7,8425.78,16679.84,11109.07,5072.7,6577.89,3748.72,7940.75,7455.43,1771.56,675.14,84211.69
Kabupaten Lamongan,1385,23129,30824,8184,13213,18685,8652,16203,20726,2254,690,836,144782,3073,9075,29694,21653,5360,21491,12940,16634,14583,4199,1350,411,140464,333,2676,26873,28882,8313,12092,16057,28751,14188,8403,1285,179,148031,355,6472,40194,14497,3468,21024,18194,16568,13512,2238,1432,496,138450,791.8,18455.52,39721.19,4668.93,6150.72,24522.35,16275.95,13591.04,10242.27,9540.13,6035.65,907.85,150903.4,2551.79,28366.08,27446.56,3985.55,11569.27,22716.89,11037.41,13618.23,15043.89,2130.04,594.83,644.27,139704.81,643.27,1192.74,28819.97,27996.74,5997.73,12835.97,15400.08,16666.98,16950.48,3326.39,228.27,611.8,130670.42
Kabupaten Gresik,449,16598,9352,2512,9883,7680,3594,1793,2663,1704,926,566,57722,1069,4308,21149,2345,2836,13631,6908,2416,2203,1952,2225,601,61643,1026,5354,17546,10094,1020,5171,15227,3575,3299,2356,2295,47,67011,409,6285,20837,3853,876,15578,6055,2002,533,3105,1541,320,61394,95.22,15729.75,13961.09,2149.54,2180.74,16543.66,4256.08,2254.27,1053.19,3522.05,1279.25,262.36,63287.2,1076.17,20347.69,8705.56,1267.81,7467.96,14023.63,2812.82,2686.9,3366.15,3202.02,1207.14,38.76,66202.61,119.91,1278.44,13442.5,13533.63,3035.84,5261.39,6462.98,1954.62,2775.37,3851.87,2214.63,126.27,54057.45
Kabupaten Bangkalan,785,7716,11434,4477,2218,4760,6435,1811,1249,74,0,0,40957,148,1521,12682,9797,1070,2621,7803,3035,28,192,683,274,39854,84,454,4120,14716,3364,2953,5623,6795,2855,1819,1155,109,44048,745,4120,17668,3544,1087,5200,5654,964,999,1595,536,-,42110,311.97,5174.01,17243.08,2536.59,972.29,5541.88,4920.67,2055.81,752.36,1041.18,167.97,0,40717.81,485.8,9782.45,13003.14,1569.67,1261.26,6571.02,3541.51,1495.75,301.22,0,0,0,38011.82,0,377.65,11376.25,10829.68,2085.39,1064.92,6867.51,4424.24,995.11,707.36,161.66,664.79,39554.55
Kabupaten Sampang,308,9385,13073,1682,3514,6499,1370,1098,458,80,257,0,37724,0,695,18074,5280,493,5553,2732,0,225,0,0,0,33052,-,523,13029,10064,3022,2340,4813,2875,380,624,121,-,37792,29,5520,20573,1502,970,7212,1843,279,130,56,37,-,38152,0,5340.3,19626.61,366.1,168.19,8435.77,821.98,0,0,121.89,0,0,34880.84,40.2,15374.75,9166.52,145.11,981.56,8835.04,202.15,0,40.17,10.04,0,0,34795.54,0,0,10884.01,12401.16,1569.8,1927.2,5377.53,848.33,0,0,60.26,0.64,33068.93
Kabupaten Pamekasan,0,3052,13112,3323,143,962,236,343,443,216,148,0,21978,0,1136,11008,6459,238,437,608,76,25,30,89,62,20169,29,116,1242,14688,3195,222,227,72,183,25,75,96,20170,96,930,14978,2168,258,71,324,48,25,28,-,-,18926,0,1145.35,17004.46,990.45,14.96,283.87,227.67,88.61,742.05,0,0,0,20497.42,28.56,3569.43,15172.06,382.89,59.34,394.79,0,249.45,0,27.84,0,0,19884.36,0,0,3769.63,13869.09,1851.33,61.56,83.46,0,1.12,0,1.19,0.24,19637.62
Kabupaten Sumenep,87,3195,17527,6517,960,2823,7032,1182,1312,3227,2208,123,46193,0,640,12504,13235,1644,1867,4056,3338,467,261,168,232,38412,78,282,2512,19598,6728,728,3734,5256,3015,309,400,115,42754,51,1969,17721,8152,610,2003,3615,4367,1095,640,76,-,40299,613.77,3603.41,20282.57,5833.47,459.63,2999.81,3284.11,2069.98,853.2,1140.89,610.96,83.61,41835.41,906.23,5054.66,20170.94,4374.84,409.51,3847.25,3122.75,3044.68,623.61,429.47,306.82,142.21,42432.97,24.69,266.67,7768.99,18057.38,3530.11,632.53,2379.24,3030.11,1005.54,0,61.57,4.64,36761.47
